run,step,task3_accuracy_pct,task0_accuracy_pct,task0_absolute_drift_pp,passes_screen,weighted_noise_before,preserve_before,total_loss_before
E13,40,13.2,43.0,1.6,False,,,
E13,41,13.4,43.0,1.6,False,,,
E13,42,13.8,43.0,1.6,False,,,
E13,43,13.0,43.2,1.4,False,,,
E13,44,13.4,43.2,1.4,False,,,
E13,45,13.4,43.4,1.2,False,,,
E13,46,13.4,43.4,1.2,False,,,
E13,47,13.4,43.4,1.2,False,,,
E13,48,13.2,43.4,1.2,False,,,
E13,49,13.0,43.4,1.2,False,,,
E13,50,13.2,43.8,0.8,False,,,
E14,0,26.0,44.6,0.0,False,,,
E14,1,23.0,45.0,0.4,False,,,
E14,2,22.0,45.6,1.0,False,,,
E14,3,21.0,46.0,1.4,False,,,
E14,4,19.4,46.2,1.6,False,,,
E14,5,18.6,46.4,1.8,False,,,
E14,6,18.0,46.6,2.0,False,,,
E14,7,17.0,46.2,1.6,False,,,
E14,8,16.2,45.8,1.2,False,,,
E14,9,16.0,44.6,0.0,False,,,
E14,10,16.2,44.6,0.0,False,,,
E14,11,16.2,44.8,0.2,False,,,
E14,12,16.4,44.6,0.0,False,,,
E14,13,17.0,44.6,0.0,False,,,
E14,14,16.4,44.6,0.0,False,,,
E14,15,16.4,44.4,0.2,False,,,
E14,16,16.4,43.8,0.8,False,,,
E14,17,15.6,43.4,1.2,False,,,
E14,18,15.4,43.2,1.4,False,,,
E14,19,15.0,42.4,2.2,False,,,
E14,20,14.8,42.8,1.8,False,,,
E14,21,14.2,42.8,1.8,False,,,
E14,22,13.8,42.4,2.2,False,,,
E14,23,13.6,41.8,2.8,False,,,
E14,24,13.6,41.4,3.2,False,,,
E14,25,13.0,41.2,3.4,False,,,
E14,26,13.0,41.4,3.2,False,,,
E14,27,12.6,41.2,3.4,False,,,
E14,28,12.8,40.8,3.8,False,,,
E14,29,13.2,39.8,4.8,False,,,
E14,30,13.4,40.2,4.4,False,,,
E14,31,14.0,40.2,4.4,False,,,
E14,32,14.0,40.0,4.6,False,,,
E14,33,13.8,40.0,4.6,False,,,
E14,34,13.6,39.8,4.8,False,,,
E14,35,13.0,39.8,4.8,False,,,
E14,36,13.2,39.2,5.4,False,,,
E14,37,13.4,39.0,5.6,False,,,
E14,38,13.0,39.2,5.4,False,,,
E14,39,13.0,39.0,5.6,False,,,
E14,40,12.8,38.6,6.0,False,,,
E14,41,13.0,38.0,6.6,False,,,
E14,42,13.0,38.0,6.6,False,,,
E14,43,12.6,38.0,6.6,False,,,
E14,44,12.4,38.0,6.6,False,,,
E14,45,12.6,38.2,6.4,False,,,
E14,46,12.6,38.0,6.6,False,,,
E14,47,12.6,38.0,6.6,False,,,
E14,48,12.6,37.8,6.8,False,,,
E14,49,12.6,37.8,6.8,False,,,
E14,50,12.6,37.4,7.2,False,,,
